state,mean,2.5quant,97.5quant
2,0.405993863231276,0.384830346643808,0.4272108105113
1,0.424122755731688,0.396207020541255,0.451875883513791
4,0.474338340328317,0.464426594826077,0.484308093927621
3,0.413459534168103,0.38590659233339,0.440298442833005
5,0.628489079958346,0.600786151154951,0.656280146648245
6,0.526935659009595,0.503665091581714,0.549688651778319
7,0.610189832624384,0.582357371484603,0.638160726413822
9,0.615527049610899,0.587633713856593,0.643173097949863
10,0.509928235489413,0.493933408632586,0.526232271144216
11,0.480206974903051,0.451163415958178,0.508946935287096
12,0.712375004871973,0.68435862788288,0.740401111198284
14,0.362038384957647,0.333997255747108,0.389658672339012
15,0.585888261134448,0.540505302255684,0.631024237152632
16,0.453165245569827,0.406765997218478,0.499850500910496
13,0.510852814919537,0.483758868431618,0.537571357407351
17,0.417397680138152,0.389722528441189,0.445238348900706
18,0.418314507124302,0.390852590447496,0.445999468750638
19,0.433270514829848,0.412069447882141,0.454473766446304
22,0.584492715450923,0.548122545600475,0.621013442362177
21,0.640432110457006,0.61270058733054,0.668374925001069
20,0.643965330687013,0.630094354243616,0.658048331351289
23,0.542160152251662,0.508214604594373,0.576639706922197
24,0.535517751644287,0.5084280537034,0.562124324471411
26,0.452945842591701,0.424933649809848,0.480772129111925
25,0.461827054531987,0.436010465047941,0.487631225971757
27,0.463286333051856,0.435062089658385,0.491190298247973
30,0.410619747560812,0.382901448606988,0.438257975450794
34,0.510452245235357,0.485823650338683,0.535066888912747
31,0.536077809136103,0.513153664301331,0.55913459392319
32,0.593192227683865,0.566184063976145,0.620706581854611
33,0.570088486583153,0.543959524286378,0.595656226777528
35,0.633913153132524,0.584417307330844,0.683015398541048
28,0.510462841197127,0.492218964932036,0.528744368754594
29,0.43120653521509,0.403506541613829,0.458910041618552
36,0.506754039846682,0.489347376589217,0.524111194444079
37,0.357853217437138,0.344039877299418,0.371495476963455
38,0.580972265178905,0.553833967774067,0.608300365943356
39,0.533831011292161,0.516002927705687,0.551587127790621
40,0.654711021642455,0.626715655115478,0.68263988394262
41,0.46363193991169,0.43553641397342,0.491636450522395
42,0.441156228589825,0.414078118226956,0.468281984028296
43,0.430375093186879,0.402706520524695,0.458312633245798
44,0.448526724311233,0.409656104262443,0.487755682360714
45,0.403379152139256,0.364161969273905,0.443069095397335
47,0.691357403299405,0.663487374981533,0.718873633492968
46,0.54055266733884,0.514868251448146,0.566026841791804
48,0.589424395888536,0.563348258403851,0.615729550109288
8,0.945066080729401,0.916717654436059,0.973059564463912
50,0.418366804102546,0.390530765913113,0.445844440799468
49,0.543861626061607,0.513938519317743,0.573899820236657
51,0.324833202845831,0.297060429721435,0.352694443578415
