Name,Date,Republican,Democrat,Size
MassINC Polling Group,9/12 - 9/18,40.0,53.0,800
MassINC Polling Group,9/12 - 9/18,43.0,56.0,800
U. New Hampshire,9/12 - 9/16,38.0,58.0,683
