Name,Date,Republican,Democrat,Size
East Carolina University,10/18 - 10/22,55.1,42.0,950
ActiVote,9/09 - 10/17,58.4,41.6,400
Winthrop U.,9/21 - 9/29,51.6,42.0,1068
