Name,Date,Republican,Democrat,Size
Suffolk,10/01 - 10/05,32.2,61.2,500
MassINC Polling Group,9/12 - 9/18,32.0,60.0,800
U. New Hampshire,9/12 - 9/16,31.0,62.0,564
