Name,Date,Democrat,Republican,Size
Zia Poll,11/6 - 11/6,46,44,8439
Albuquerque Journal,11/1 - 11/3,45,40,504
Gravis,11/1 - 11/2,45,37,1327
Zia Poll,11/1 - 11/2,46,43,1102
Zia Poll,10/24 - 10/25,45,40,1899
Zia Poll,10/11 - 10/11,46,36,1536
KOB-TV/SurveyUSAKOB-TV/SUSA,9/28 - 10/2,46,33,594
Albuquerque Journal,9/27 - 9/29,35,31,501
Zia Poll,9/24 - 9/24,42,37,1415
PPP (D),8/19 - 8/21,40,31,1103
