Name,Date,Democrat,Republican,Size
Western NE UniversityWestern NE,10/23 - 11/2,56,26,417
Boston Globe/SuffolkBoston Globe,10/24 - 10/26,57,25,500
WBUR/MassINC,10/13 - 10/16,54,28,502
Western NE UniversityWestern NE,9/24 - 10/3,58,26,403
UMass Amherst/WBZ,9/15 - 9/20,46,33,700
WBUR/MassINC,9/7 - 9/10,54,28,506
Emerson,9/3 - 9/5,50,33,500
