Name,Date,Democrat,Republican,Size
Talk Business/Hendrix College,10/21 - 10/21,33,56,463
Talk Business/Hendrix College,9/15 - 9/17,34,55,831
Emerson,9/9 - 9/13,29,57,600
Talk Business/Hendrix College,6/21 - 6/21,36,47,751
