Name,Date,Democrat,Republican,Size
Star Tribune,10/20 - 10/22,47,39,625
Gravis,9/23 - 9/23,43,43,906
KSTP/SurveyUSAKSTP-TV,9/16 - 9/20,46,39,625
Star Tribune,9/12 - 9/14,44,38,625
