Name,Date,Democrat,Republican,Size
Emerson,10/27 - 10/30,53,41,500
Loras,10/26 - 10/27,45,34,600
The Simon Poll/SIU,9/27 - 10/2,53,28,865
Emerson,9/19 - 9/21,45,39,700
Loras,9/13 - 9/16,43,30,600
