state,mean,2.5quant,97.5quant
2,0.405661351876842,0.377254525656679,0.434135676477508
1,0.443331705673334,0.416968830489364,0.46995036910253
4,0.510101085530218,0.493487507670332,0.526877167733516
3,0.41263070970129,0.384447227778133,0.441067799241608
5,0.660526370971296,0.63358347262858,0.687410207090016
6,0.557155567801349,0.529177193336952,0.585815009997483
7,0.614217283243278,0.585950257943383,0.642486636935232
9,0.612821401203166,0.585709612166624,0.640273740909684
10,0.521924069009086,0.505509742383153,0.538426579913843
11,0.496006830952957,0.469870926048289,0.522287524249378
12,0.716587093240381,0.688688685451339,0.744687573028572
14,0.363622075936297,0.335508630646367,0.391571871884688
15,0.623835771444887,0.595631900474283,0.651799163621412
16,0.465492131631962,0.437807525379622,0.492985762557221
13,0.506832050704369,0.4726850856116,0.540830284244229
17,0.429013321343657,0.402388596105975,0.455960655657423
18,0.410970462827116,0.36716662452868,0.454781564700235
19,0.436707048509241,0.413101686289664,0.460115242020745
22,0.574734029683342,0.537705704969338,0.611326206447423
21,0.658729003522774,0.631220230932765,0.68633418264006
20,0.664548850059181,0.640966079872671,0.68863199103809
23,0.538241706204862,0.51816085588436,0.557970580698626
24,0.546648327926402,0.515781216838636,0.57746885811375
26,0.45496184019943,0.426918292261499,0.483174193434062
25,0.473133795000253,0.445648203622567,0.500593380869483
27,0.453668379184308,0.411410164056707,0.496034118936395
30,0.411911479757238,0.383669891309254,0.440031111881761
34,0.540142171739803,0.500074084487383,0.580655758526806
31,0.549340374410456,0.516618727677678,0.582109838677814
32,0.60295208607495,0.561529771877984,0.64401816961141
33,0.580260134185624,0.553388230280869,0.606880066879875
35,0.672140002389182,0.645150053257542,0.699052548966987
28,0.510407014096933,0.494798628061812,0.526306483969853
29,0.399208874504827,0.3716215645098,0.42762431951928
36,0.510055456841018,0.48354103013479,0.536610832277326
37,0.35709953830837,0.328738372879682,0.38576649661617
38,0.59389064403192,0.565923524344058,0.622251839012395
39,0.532985131705532,0.516908054228081,0.548978176566369
40,0.645651466163856,0.617995138040536,0.673943185292139
41,0.466840036816303,0.436883692421288,0.496738008875179
42,0.420280232996878,0.392256669266454,0.44828634016429
43,0.423364625995067,0.395106058307669,0.45159960850145
44,0.481096853661577,0.453405446471149,0.509282771401967
45,0.35547220084039,0.327069844430464,0.383398686982911
47,0.695063956940828,0.667072824599062,0.723388271951336
46,0.548679400900879,0.521846393210005,0.575662868686734
48,0.610717565945804,0.582262808242558,0.639028955520616
8,0.969332953898572,0.941423064447271,0.99753503055122
50,0.382036893593783,0.353767431366701,0.410239382474575
49,0.532762154383322,0.513566626521734,0.551663387090078
51,0.311831051367804,0.283569767087211,0.339927952861742
