Name,Date,Republican,Democrat,Size
SurveyUSA,10/8 - 10/13,49.0,42.0,527
Indy Politics/Change Res. (D),9/3 - 9/7,53.0,39.0,1033
Indy Politics/Change Res. (D),4/10 - 4/13,52.0,39.0,1021
