Name,Date,Republican,Democrat,Size
Stockton University,10/7 - 10/13,36.0,56.0,721
Fairleigh Dickinson,9/30 - 10/5,38.0,53.0,582
Emerson,9/4 - 9/7,38.0,55.0,500
Rutgers-Eagleton,4/22 - 5/2,33.0,56.0,1364
Quinnipiac,4/30 - 5/4,35.0,54.0,941
Monmouth,4/16 - 4/19,38.0,54.0,635
