Name,Date,Republican,Democrat,Size
Goucher College,9/30 - 10/4,30.0,61.0,776
OpinionWorks,9/4 - 9/11,30.0,62.0,753
Gonzales Research,5/19 - 5/23,35.0,59.0,810
