Name,Date,Republican,Democrat,Size
Missouri Scout,10/14 - 10/15,51.0,45.0,1010
SLU/YouGov,9/24 - 10/7,52.0,43.0,931
Missouri Scout,9/30 - 10/1,51.0,46.0,980
Missouri Scout,9/16 - 9/17,53.0,45.0,1046
WeAskAmerica,9/1 - 9/3,49.0,44.0,500
Trafalgar Group (R),8/26 - 8/28,52.0,41.0,1015
SLU/YouGov,6/23 - 7/1,50.0,43.0,900
Missouri Scout,6/10 - 6/11,51.0,43.0,1152
WeAskAmerica,5/26 - 5/27,48.0,44.0,500
